,sentence,score,magnitude
2848,"https://t.co/OvT0TwLHC0
RT @ladyprovolone: Hoy, en otro capítulo de Protestar No Sirve de Nada: TOMA CHANGO TU BANANA #RickyRenunció https://t.co/iHof5KQJZU
RT @bryanxandres: Lo logramossss puñetaa...",-0.8999999761581421,0.8999999761581421
2849,"La generación no se deja #RickyRenuncio ✊🏾🔥🇵🇷 https://t.co/kE2MmwKxgv
I am proud of the people of Puerto Rico.",0.0,0.0
2850,"They made history, and reminded the world that power is always of the peop…",0.30000001192092896,0.30000001192092896
2851,"https://t.co/yYOGT5tAN7
RT @___dvnirdz: LA GENERACIÓN DEL YO NO ME DEJOOOOOO VIENEEEEEEEE!!",-0.10000000149011612,0.10000000149011612
2852,VAMO’ ARRIBA BORICUA!!!,0.10000000149011612,0.10000000149011612
2853,"😭😭😭 #RickyRenunció
#RickyRenunció #LaCartaPaCuando #WandaRenuncia https://t.co/Rg2VjERMqY
Los comments de aqui son todo lo contrario al mismo post en FB!",-0.5,0.5
2854,TWITTER SIN MIEDO!,-0.20000000298023224,0.20000000298023224
2855,LOS LLEVO!,0.0,0.0
2856,DIGANLE MAS!,0.4000000059604645,0.4000000059604645
2857,Y para cuándo los peruanos?,0.0,0.0
2858,"🙏🏼💪🏼
Cara e lechuga
Si quieren ser parte del movimiento comiencen limpiando su casa.",-0.30000001192092896,0.30000001192092896
2859,“Putting your money where your mouth is”…,0.0,0.0
2860,"https://t.co/dkGrtVsuCS
RT @ShowRespect52: Boricua que protestó y siempre estuvo en contra del bipartidismo aunque no te conozca quiero decirte #TeAmoBoricua.",-0.20000000298023224,0.20000000298023224
2861,❤️🇵🇷…,0.5,0.5
2862,RT @DeepConu: RICKY PRESIDENTE DE LA GALAXIA.,0.0,0.0
2863,"https://t.co/9r0QsA3O50
¡Bravo PR!",0.0,0.0
2864,"👏🏼
El que se mete con Venezuela, Nicaragua y Cuba se SECA, muy bonito creían que se miraban condenando a estos países…",0.30000001192092896,0.30000001192092896
2865,"https://t.co/q1oQEZTqyM
RT @kedwinperalta: Felicitar  al pueblo de #PuertoRico #RickyRenuncio #RickyTeBotamos #RickySeFue
RT @gypsy718: #RickyRenuncio #RickySeFue #puertorico https://t.co/039pIX3F2q
RT @__MELANEEE: This is what we should’ve done to get ugly ass trump out of office https://t.co/DpRmsu1ekG
RT @Kentantino1: @netflix  Soooooo, you guys are planing to make a documentary about #AfterRycky?",0.4000000059604645,0.4000000059604645
2866,so he quit  we the Purrtorican people mad…,-0.20000000298023224,0.20000000298023224
2867,"#WandaRenuncia #SchatzRenuncia #RickyRenuncio #ArrestenAEliasSanchez
RT @caderaykilate: Y por esto, la lucha no puede caerse ahora.",-0.20000000298023224,0.20000000298023224
2868,#RickyRenuncio #RickySeFue #VamosPorMás #VamosPorWanda https://t.co/KWKEpY4G…,0.10000000149011612,0.10000000149011612
2869,"lloré
✊🏿🇵🇷🔥
RT @Asyekeel: #RickyRenuncio  Finalmente ya no mas governador corrupto !",0.800000011920929,0.800000011920929
2870,"#PuertoRicoSeLevanta #RickySeFue  #RickyTeBotamos
❣️
This is what we need to do.",0.5,0.5
